OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1970:3,50.8713328,40.68066661,49.47566605,96.81733449,61.37100093,49.20100021,75.89166768,56.67800013,63.98700078,82.91833496,54.45433426,63.26033274,57.62400055,58.64166641
1970:4,48.41266505,43.30766678,46.38833364,90.72766622,59.78066635,51.15866597,71.95233409,55.05099996,62.01366679,84.09566498,56.02200063,58.49400075,55.96799978,57.51766586
1971:1,51.45299911,65.58666738,43.64266713,94.12466685,61.95966721,58.34933345,76.06666819,55.72466532,60.54066594,84.74599965,54.71233368,58.26399994,56.04399999,58.38566717
1971:2,53.51033274,66.65566762,48.37100093,96.62033335,64.06666692,60.78233337,71.54299927,56.77866745,62.99933243,82.73733521,57.91800054,59.66766612,57.66533279,59.85233307
1971:3,54.93900045,54.35633341,52.42033386,97.32166545,65.08233388,56.05833308,79.60433197,57.38666662,66.04266739,87.12466685,57.39933395,64.54633458,58.62599945,59.26600011
1971:4,55.55266698,64.34466553,50.02566655,96.8093338,65.55533218,62.10633214,75.16566722,58.25900014,64.37666448,86.5530014,61.2240003,61.39733378,59.41200002,60.69033305
1972:1,57.28766759,67.39166768,48.49533335,103.5666656,66.78666687,64.63599904,79.77399953,59.53866704,63.55833435,86.63566844,63.46000036,59.36900075,60.34966787,62.73499934
1972:2,60.69900004,71.83233388,52.46733348,107.7883326,69.79300181,68.4343338,74.81900024,62.04799906,67.65466563,86.49333191,66.69799805,60.09633382,63.35966619,65.40566508
1972:3,59.10433324,57.79133479,57.71999995,105.8553314,70.16333516,61.58500036,84.03566742,62.13333257,70.20899963,92.35166677,65.07299932,64.82633209,63.99033229,65.37899907
1972:4,62.26533381,73.69366709,54.00166575,101.8973338,70.5726649,70.79266866,80.53066508,63.80599976,67.23199972,92.90233358,69.42200216,61.58866628,65.38633219,67.72200012
1973:1,62.65366745,80.10133362,51.95799891,105.5043335,71.27099864,73.79166667,84.7506663,64.84366608,65.85699972,91.30799866,69.94566854,58.91233317,65.75633367,68.86566416
1973:2,62.50333405,80.12399801,57.01100032,109.9710007,73.17366536,74.36599986,78.82166545,66.76166789,68.79033407,93.90333303,70.91900126,60.73800023,68.20133209,71.04133352
1973:3,60.28433228,66.15633265,61.54499944,106.7626673,73.75999959,67.52666601,89.25600179,67.47833506,72.19833374,96.4330012,69.29633458,66.40833537,69.22000122,71.32433319
1973:4,60.35066732,72.39333344,57.97866694,99.08733368,71.49400075,70.49100113,80.25033315,66.94366709,69.7530009,93.55099996,69.89800135,60.95833206,68.3136673,71.24766795
1974:1,60.46233368,66.3203303,54.14333344,103.930336,68.9383316,65.33566538,81.1243337,64.86066564,67.13599904,85.15299988,65.4020017,58.15999985,65.64800008,69.16700236
1974:2,62.11333466,69.89399974,59.79499944,104.8946686,71.57966614,67.6876653,79.62900035,67.36599986,69.71366882,91.46733348,66.90600077,63.3390007,68.49033356,71.13733164
1974:3,60.89733378,60.09033457,65.10199992,100.5836665,72.31866709,62.55366643,88.16233063,67.74399821,72.61033122,94.07533518,65.179334,68.46966807,68.77133433,70.53833262
1974:4,58.23733266,61.91566722,60.53366597,91.47099813,67.9653333,61.20533371,80.2360026,65.18966802,68.36266708,91.78966777,61.44433212,62.18666712,65.65833282,67.44600169
